Casing OD (in),Hole Size (in)
30.000000,26.000000
30.000000,24.000000
24.000000,20.000000
20.000000,17.500000
18.625000,17.500000
18.625000,16.000000
16.000000,14.500000
16.000000,14.750000
14.000000,12.250000
13.375000,12.250000
11.875000,10.625000
11.750000,10.625000
11.375000,10.625000
10.750000,9.500000
10.750000,8.750000
9.875000,8.750000
9.625000,8.750000
9.875000,8.500000
9.625000,8.500000
9.875000,7.875000
9.625000,7.875000
8.625000,7.875000
8.625000,6.500000
7.625000,6.500000
7.750000,6.500000
7.625000,6.125000
7.750000,6.125000
7.000000,6.125000
7.000000,6.000000
7.000000,5.875000
6.625000,5.875000
6.625000,4.750000
5.500000,4.750000
5.000000,4.000000
4.500000,3.750000
