Hole Size (in),Casing OD (in)
26.000,20.000
26.000,18.625
26.000,16.000
24.000,20.000
24.000,18.625
24.000,16.000
20.000,16.000
17.500,16.000
17.500,14.000
17.500,13.375
17.500,13.375
16.000,14.000
16.000,13.375
16.000,11.875
16.000,11.375
16.000,11.750
14.750,14.000
14.750,13.375
14.750,11.875
14.750,11.750
14.750,11.375
14.750,10.750
14.250,14.000
14.250,13.375
14.250,11.875
14.250,11.750
14.250,11.375
14.250,10.750
12.250,10.750
12.250,9.875
12.250,9.625
10.625,9.875
10.625,9.625
10.625,8.625
9.500,8.625
9.500,7.625
9.500,7.750
8.750,7.625
8.750,7.750
8.750,7.000
8.500,7.625
8.500,7.750
8.500,7.000
8.500,6.625
7.875,6.625
7.875,5.500
6.500,5.500
6.500,5.000
6.125,5.000
6.125,4.500
6.000,4.500
5.875,4.500
5.875,4.000
4.750,4.000
